temperature_c,condition,dims,sites,replicas,sqrt_time_min_half,time_s,ar40_fraction_n,ar40_fraction_mean,ar40_fraction_ci95_low,ar40_fraction_ci95_high,ar40_da2_per_s_n,ar40_da2_per_s_mean,ar40_da2_per_s_ci95_low,ar40_da2_per_s_ci95_high,ar36_fraction_n,ar36_fraction_mean,ar36_fraction_ci95_low,ar36_fraction_ci95_high,ar36_da2_per_s_n,ar36_da2_per_s_mean,ar36_da2_per_s_ci95_low,ar36_da2_per_s_ci95_high,ar36_ar40_da2_ratio_n,ar36_ar40_da2_ratio_mean,ar36_ar40_da2_ratio_ci95_low,ar36_ar40_da2_ratio_ci95_high,xe_fraction_n,xe_fraction_mean,xe_fraction_ci95_low,xe_fraction_ci95_high,xe_da2_per_s_n,xe_da2_per_s_mean,xe_da2_per_s_ci95_low,xe_da2_per_s_ci95_high
500,vacuum,12x12x6,6912,8,4,960.0,8,0.0800869395134662,0.06685969343975273,0.09213038283098766,8,1.894706733270166e-06,1.3542777198551639e-06,2.4823655603184303e-06,8,0.04726009051533499,0.021926011784023952,0.0786640314020345,8,1.0567153146208475e-06,2.622230309123681e-07,2.315514976047864e-06,6,0.7542774985994605,0.34247862423165915,1.3543967790173808,8,0.06855455195183859,0.04622691949211079,0.09018416290930108,8,1.5958033020871963e-06,7.396919235048179e-07,2.623322292164686e-06
500,vacuum,12x12x6,6912,8,6,2160.0,8,0.18232727965502102,0.15870176678381448,0.20878425887541188,8,4.987484245226343e-06,3.456885432468372e-06,6.724859803791101e-06,8,0.15552175952050512,0.11789981419064903,0.19086255191731866,8,4.077548136281634e-06,2.288483238982236e-06,5.970877119219377e-06,8,0.9831749153732734,0.46996258596060636,1.7305201905997925,8,0.18832240782390836,0.15272218853400962,0.22641931772002505,8,5.904046020539163e-06,3.880172912892554e-06,8.141275600476442e-06
500,vacuum,12x12x6,6912,8,8,3840.0,8,0.2519088893216199,0.2138631060312714,0.28984919066440806,8,4.418383416935313e-06,2.6281425073550275e-06,6.578901067745586e-06,8,0.24795722508604168,0.18396912984794644,0.31168501883512023,8,6.100256951024826e-06,2.6935495432466543e-06,1.013456455824296e-05,7,2.536316958236738,0.9630198129395803,4.328436379091472,8,0.27315875119046357,0.24191220444971384,0.3072091520885604,8,5.297100380875994e-06,4.441121238261929e-06,6.20081502523853e-06
500,vacuum,12x12x6,6912,8,10,6000.0,8,0.31538541804953507,0.2778170835404572,0.35016750843405353,8,3.975695215749113e-06,2.950832795201364e-06,5.006534745910898e-06,8,0.2805413794374374,0.23318263330740643,0.3291316526610644,8,1.4006657749098944e-06,2.415197255379139e-07,3.01450318192974e-06,3,0.757105303535945,0.43957892206993693,1.1538173944392285,8,0.3091182847993278,0.27890321632671694,0.34139759230035643,8,2.343977160985499e-06,1.8623865949808585e-06,2.9078062240356017e-06
500,vacuum,12x12x6,6912,8,15,13500.0,8,0.3442522669571726,0.30746268818783723,0.380459798869265,8,6.475095972716248e-07,2.647713228635662e-07,1.1697300841810311e-06,8,0.318179926235467,0.261540165067842,0.36628271998454554,8,7.687659543055574e-07,3.3290084917111546e-07,1.2320536581114294e-06,4,1.9113343945219592,0.988049948020767,2.9114858606033205,8,0.33862036499506043,0.31713792567575094,0.3642978509000009,8,5.950582025451017e-07,4.75855707288735e-07,7.393659551989836e-07
500,vacuum,12x12x6,6912,8,20,24000.0,8,0.35424363237644113,0.31246053138050706,0.3966653446737376,8,1.9116683234081118e-07,5.647348792540197e-08,3.569773012741279e-07,8,0.34395017081242657,0.2875453720508167,0.39799152419588524,8,4.248372337267811e-07,1.2203058324119574e-07,7.985520662578071e-07,2,1.6014562907419143,1.186755912083626,2.016156669400203,8,0.35083100073416923,0.32723137309642397,0.3785231368544331,8,2.0775930886786975e-07,1.0798764605241068e-07,3.201129878399674e-07
500,vacuum,12x12x6,6912,8,30,54000.0,8,0.36510674989044045,0.31847287110041317,0.4085672787000525,8,7.407795551410117e-08,3.235629944247099e-08,1.272668035119095e-07,8,0.3572554929412781,0.2962686889637888,0.4125796870472327,8,8.964571106690074e-08,0.0,2.0925445669577853e-07,1,2.64213147024593,2.64213147024593,2.64213147024593,8,0.3543275042306727,0.3316454638575657,0.37755134280509794,8,1.8809103062742844e-08,0.0,4.47354620570535e-08
500,vacuum,12x12x6,6912,8,40,96000.0,8,0.38356773844667086,0.33526897777862014,0.43062630550591474,8,8.995744549821611e-08,5.3783340630111074e-08,1.268631864544741e-07,8,0.37353700554632013,0.30493259009592943,0.4379074905824399,8,9.550873924067559e-08,0.0,2.2734507715704993e-07,1,2.1935552099456967,2.1935552099456967,2.1935552099456967,8,0.3543275042306727,0.33193742514576013,0.3793330382289539,8,0.0,0.0,0.0
500,vacuum,12x12x6,6912,8,50,150000.0,8,0.3874516866240973,0.3364399669404929,0.4344257795344752,8,1.7151520963158997e-08,0.0,4.0926177916746147e-08,8,0.3778473503739064,0.3076441102756892,0.44639235004346567,8,1.6694814050894178e-08,0.0,5.0084442152682535e-08,1,3.1713912616483455,3.1713912616483455,3.1713912616483455,8,0.3543275042306727,0.33152613811347575,0.37930578443940627,8,0.0,0.0,0.0
500,vacuum,12x12x6,6912,8,60,216000.0,8,0.39295737035324346,0.341797548368595,0.4440850528537994,8,2.02481136305698e-08,5.107848084412631e-09,3.5330724988955473e-08,8,0.3778473503739064,0.3056077694235589,0.44221783541002607,8,0.0,0.0,0.0,0,,,,8,0.3543275042306727,0.33152613811347575,0.379973823425253,8,0.0,0.0,0.0
