scenario,species,rate_basis,status,mean_mol_m2_s,ci95_low_mol_m2_s,ci95_high_mol_m2_s,poisson_zero_upper_95_mol_m2_s,log10_mean_mol_m2_s
adsorption__prefactor-x0.1,al,gross,zero-upper-bound,0.0,0.0,0.0,9.873407543899793e-11,undefined
adsorption__prefactor-x0.1,al,net,estimated,0.0,0.0,0.0,undefined,undefined
adsorption__prefactor-x0.1,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
adsorption__prefactor-x10,si,gross,zero-upper-bound,0.0,0.0,0.0,6.438098732063132e-11,undefined
adsorption__prefactor-x10,si,net,estimated,-1.810756098247291e-09,-2.2737665880341755e-09,-1.3823689895693484e-09,undefined,undefined
adsorption__prefactor-x10,si,expected_gross_from_propensity,estimated-positive,3.686622336685384e-16,2.443881516275507e-16,5.000216428161684e-16,undefined,-15.433371349916083
adsorption__prefactor-x10,al,gross,zero-upper-bound,0.0,0.0,0.0,6.438098732063132e-11,undefined
adsorption__prefactor-x10,al,net,estimated,0.0,0.0,0.0,undefined,undefined
adsorption__prefactor-x10,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
cation-desorption__ea-minus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
cation-desorption__ea-minus-3,si,net,estimated,-2.4835364510241016e-10,-3.70250331435363e-10,-1.257349512561041e-10,undefined,undefined
cation-desorption__ea-minus-3,si,expected_gross_from_propensity,estimated-positive,9.562357491886942e-19,3.8404336787964373e-19,1.5197509386429252e-18,undefined,-18.019435024094356
cation-desorption__ea-minus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
cation-desorption__ea-minus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
cation-desorption__ea-minus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
cation-desorption__ea-plus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
cation-desorption__ea-plus-3,si,net,estimated,-2.4835364510241016e-10,-3.682959144921409e-10,-1.241193284272939e-10,undefined,undefined
cation-desorption__ea-plus-3,si,expected_gross_from_propensity,estimated-positive,3.80074163302791e-23,1.638563579288819e-23,6.0147559405872e-23,undefined,-22.42013165188177
cation-desorption__ea-plus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
cation-desorption__ea-plus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
cation-desorption__ea-plus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
cation-desorption__prefactor-x0.1,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
cation-desorption__prefactor-x0.1,si,net,estimated,-2.4835364510241016e-10,-3.70049644757175e-10,-1.273042743170919e-10,undefined,undefined
cation-desorption__prefactor-x0.1,si,expected_gross_from_propensity,estimated-positive,6.028602675968598e-22,2.5983601733867735e-22,9.622879262653298e-22,undefined,-21.21978333801564
cation-desorption__prefactor-x0.1,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
cation-desorption__prefactor-x0.1,al,net,estimated,0.0,0.0,0.0,undefined,undefined
cation-desorption__prefactor-x0.1,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
cation-desorption__prefactor-x10,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
cation-desorption__prefactor-x10,si,net,estimated,-2.4835364510241016e-10,-3.703153902928105e-10,-1.2430969531902282e-10,undefined,undefined
cation-desorption__prefactor-x10,si,expected_gross_from_propensity,estimated-positive,6.028602675968598e-20,2.4222340255584013e-20,9.392138590589361e-20,undefined,-19.21978333801564
cation-desorption__prefactor-x10,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
cation-desorption__prefactor-x10,al,net,estimated,0.0,0.0,0.0,undefined,undefined
cation-desorption__prefactor-x10,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
