scenario,replica,seed,window_start_step,window_end_step,window_start_time_s,window_end_time_s,area_time_a2_s,lattice_si_release_events,gross_si_events,adsorb_si_events,net_si_events,lattice_al_release_events,gross_al_events,adsorb_al_events,net_al_events,lattice_si_release_flux_mol_m2_s,lattice_al_release_flux_mol_m2_s,expected_lattice_origin_si_flux_from_propensity_mol_m2_s,expected_lattice_origin_al_flux_from_propensity_mol_m2_s,lattice_si_upper_95_mol_m2_s,lattice_al_upper_95_mol_m2_s,si_al_lattice_release_ratio_dimensionless,propensity_origin_status,steady_state_status,acceptance_passed,log10_lattice_si_release_flux_mol_m2_s,log10_lattice_al_release_flux_mol_m2_s,log10_expected_lattice_origin_si_flux_from_propensity_mol_m2_s,log10_expected_lattice_origin_al_flux_from_propensity_mol_m2_s
sioal-si-neutral__prefactor-x0.1,0,90401,40000,200000,2858.236474,14346.9979,8443642.462291077,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891450872352729e-11,5.891450872352729e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x0.1,1,90403,40000,200000,2863.554194,14354.83944,8445497.338802915,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.890156938626225e-11,5.890156938626225e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x0.1,2,90407,40000,200000,2855.87658,14320.72936,8426070.850252498,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.903736822816844e-11,5.903736822816844e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x0.1,3,90409,40000,200000,2892.078897,14454.38825,8497696.365614831,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.853975314014424e-11,5.853975314014424e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x0.1,4,90413,40000,200000,2876.365953,14316.31033,8407764.468786282,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.916591138462324e-11,5.916591138462324e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x0.1,5,90419,40000,200000,2864.944422,14371.45044,8456683.815047184,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.882365456514559e-11,5.882365456514559e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x0.1,6,90421,40000,200000,2881.339754,14373.33366,8446018.167066766,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889793718922991e-11,5.889793718922991e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x0.1,7,90427,40000,200000,2880.453617,14369.57687,8443908.38632831,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.89126533286918e-11,5.89126533286918e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x10,0,90401,40000,200000,2858.224304,14346.93681,8443606.508633938,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891475958695218e-11,5.891475958695218e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x10,1,90403,40000,200000,2863.542,14354.77831,8445461.373386607,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.890182022151809e-11,5.890182022151809e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x10,2,90407,40000,200000,2855.864418,14320.66837,8426034.964210575,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.903761966522992e-11,5.903761966522992e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x10,3,90409,40000,200000,2892.066579,14454.32669,8497660.17530443,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.854000245251886e-11,5.854000245251886e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x10,4,90413,40000,200000,2876.353706,12156.80027,6820645.826927602,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.29334230402451e-11,7.29334230402451e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x10,5,90419,40000,200000,2864.932222,14371.38923,8456647.795244725,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.882390511553726e-11,5.882390511553726e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x10,6,90421,40000,200000,2881.327484,14373.27245,8445982.198710667,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889818801405152e-11,5.889818801405152e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-si-neutral__prefactor-x10,7,90427,40000,200000,2309.268523,8717.208883,4709503.079860087,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0562750232191626e-10,1.0562750232191626e-10,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-minus-3,0,90401,40000,200000,2858.235338,14346.99219,8443639.100638835,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891453217906441e-11,5.891453217906441e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-minus-3,1,90403,40000,200000,2863.553056,14354.83374,8445493.985970046,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.890159276998832e-11,5.890159276998832e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-minus-3,2,90407,40000,200000,2855.875445,14320.72366,8426067.495214785,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.903739173529049e-11,5.903739173529049e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-minus-3,3,90409,40000,200000,2892.077747,14454.3825,8497692.98485394,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.853977642986632e-11,5.853977642986632e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-minus-3,4,90413,40000,200000,2876.36481,14316.30464,8407761.126977637,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.916593490112795e-11,5.916593490112795e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-minus-3,5,90419,40000,200000,2864.943284,14371.44472,8456680.447515357,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.882367798929294e-11,5.882367798929294e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-minus-3,6,90421,40000,200000,2881.338609,14373.32794,8446014.804679574,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889796063669883e-11,5.889796063669883e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-minus-3,7,90427,40000,200000,2880.452473,14369.57116,8443905.03055565,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891267674173004e-11,5.891267674173004e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-plus-3,0,90401,40000,200000,2858.235368,14346.99234,8443639.188832596,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891453156370247e-11,5.891453156370247e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-plus-3,1,90403,40000,200000,2863.553085,14354.83389,8445494.074898755,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.89015921497709e-11,5.89015921497709e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-plus-3,2,90407,40000,200000,2855.875474,14320.72381,8426067.584143495,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.90373911122099e-11,5.90373911122099e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-plus-3,3,90409,40000,200000,2892.077777,14454.38266,8497693.080397181,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.853977577167828e-11,5.853977577167828e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-plus-3,4,90413,40000,200000,2876.36484,14316.30479,8407761.2151714,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.9165934280503e-11,5.9165934280503e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-plus-3,5,90419,40000,200000,2864.943313,14371.44487,8456680.536444068,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.882367737071527e-11,5.882367737071527e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-plus-3,6,90421,40000,200000,2881.338639,14373.32809,8446014.892873337,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889796002168301e-11,5.889796002168301e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__ea-plus-3,7,90427,40000,200000,2880.452503,14369.57131,8443905.118749414,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891267612640685e-11,5.891267612640685e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__prefactor-x0.1,0,90401,40000,200000,2858.235368,14346.99234,8443639.188832596,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891453156370247e-11,5.891453156370247e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__prefactor-x0.1,1,90403,40000,200000,2863.553085,14354.83389,8445494.074898755,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.89015921497709e-11,5.89015921497709e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
sioal-al-neutral__prefactor-x0.1,2,90407,40000,200000,2855.875474,14320.72381,8426067.584143495,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.90373911122099e-11,5.90373911122099e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
